GeneSymbol,17-002,17-006,17-019,17-023,17-026,17-027,17-030,17-034,17-040,17-041,17-042,17-043,17-045,17-047,17-054,17-055,17-057,17-058,17-060,17-061
7a5,0.518781087,0.687283587,0.687283587,0.518781087,0.687283587,0.335786791,0.578160608,0.518781087,0.634635402,0.578160608,0.634635402,0.518781087,0.518781087,0.687283587,0.634635402,0.578160608,0.45766338,0.45766338,0.687283587,0.518781087
a1bg,0.364542413,0.900827693,0.415207023,0.612861681,0.516566511,0.516566511,0.46615721,0.516566511,0.364542413,0.516566511,0.773386087,0.31503153,0.415207023,0.612861681,0.46615721,0.415207023,0.900827693,0.900827693,0.612861681,0.900827693
a1cf,0.580718245,0.40380661,0.463669252,0.635593964,0.523054795,0.635593964,0.463669252,0.523054795,0.523054795,0.580718245,0.463669252,0.580718245,0.463669252,0.463669252,0.580718245,0.523054795,0.523054795,0.635593964,0.40380661,0.635593964
a26c3,0.396578664,0.455696229,0.338548047,0.725774436,0.514578015,0.571994252,0.230996696,0.678347911,0.455696229,0.455696229,0.725774436,0.626873652,0.725774436,0.514578015,0.282937322,0.626873652,0.725774436,0.725774436,0.455696229,0.678347911
a2bp1,0.738255732,0.579151095,0.518831401,0.456669154,0.579151095,0.738255732,0.518831401,0.738255732,0.579151095,0.456669154,0.636413837,0.689670244,0.738255732,0.738255732,0.456669154,0.518831401,0.456669154,0.518831401,0.456669154,0.579151095
a2ld1,0.787164304,0.417262976,0.819084858,0.312537244,0.364258585,0.819084858,0.819084858,0.470557989,0.470557989,0.787164304,0.623255771,0.52320117,0.669356504,0.669356504,0.819084858,0.312537244,0.417262976,0.263089097,0.57434259,0.75152965
a2m,0.674135975,0.618232623,0.674135975,0.618232623,0.618232623,0.674135975,0.674135975,0.674135975,0.674135975,0.618232623,0.618232623,0.618232623,0.674135975,0.618232623,0.674135975,0.618232623,0.618232623,0.618232623,0.674135975,0.674135975
a2ml1,0.692522815,0.637398969,0.637398969,0.637398969,0.637398969,0.637398969,0.637398969,0.637398969,0.692522815,0.637398969,0.692522815,0.637398969,0.692522815,0.637398969,0.637398969,0.692522815,0.637398969,0.637398969,0.637398969,0.637398969
a3galt2,0.648881148,0.593515932,0.648881148,0.593515932,0.534970305,0.593515932,0.648881148,0.593515932,0.474335319,0.534970305,0.648881148,0.593515932,0.648881148,0.534970305,0.593515932,0.534970305,0.474335319,0.648881148,0.534970305,0.534970305
a4galt,0.646272739,0.646272739,0.646272739,0.646272739,0.700974247,0.700974247,0.646272739,0.700974247,0.646272739,0.700974247,0.646272739,0.586780453,0.646272739,0.646272739,0.586780453,0.646272739,0.586780453,0.646272739,0.646272739,0.646272739
a4gnt,0.338483889,0.518055045,0.73091432,0.73091432,0.73091432,0.518055045,0.518055045,0.458149865,0.73091432,0.6316786,0.458149865,0.458149865,0.518055045,0.397826736,0.458149865,0.281549983,0.518055045,0.518055045,0.458149865,0.338483889
aaa1,0.472766733,0.530222789,0.585922058,0.530222789,0.357167714,0.414671665,0.357167714,0.472766733,0.530222789,0.472766733,0.688436972,0.530222789,0.688436972,0.472766733,0.530222789,0.414671665,0.414671665,0.688436972,0.688436972,0.688436972
aaas,0.65244763,0.65244763,0.70453032,0.65244763,0.595859547,0.65244763,0.65244763,0.70453032,0.70453032,0.70453032,0.65244763,0.70453032,0.595859547,0.535586891,0.535586891,0.595859547,0.595859547,0.535586891,0.65244763,0.535586891
aacs,0.675946622,0.620698332,0.72657618,0.72657618,0.675946622,0.620698332,0.499798927,0.499798927,0.72657618,0.561620963,0.561620963,0.436578348,0.72657618,0.675946622,0.436578348,0.675946622,0.620698332,0.620698332,0.373501228,0.675946622
aacsl,0.754080035,0.710720665,0.501220739,0.329470804,0.754080035,0.710720665,0.443561773,0.754080035,0.443561773,0.501220739,0.443561773,0.663208943,0.557706655,0.38589765,0.38589765,0.501220739,0.501220739,0.443561773,0.557706655,0.754080035
aadac,0.619516259,0.505231594,0.505231594,0.445403675,0.563644017,0.619516259,0.619516259,0.326775525,0.445403675,0.619516259,0.326775525,0.563644017,0.445403675,0.385454093,0.563644017,0.385454093,0.385454093,0.619516259,0.619516259,0.563644017
aadacl1,0.871909296,0.791567476,0.723080169,0.871909296,0.848119406,0.871909296,0.871909296,0.176172815,0.791567476,0.118846734,0.372993256,0.328910418,0.418392952,0.14576193,0.600891939,0.643817091,0.095428438,0.723080169,0.012584745,0.095428438
aadacl2,0.684929126,0.684929126,0.573852531,0.513409917,0.631349279,0.631349279,0.684929126,0.684929126,0.573852531,0.631349279,0.631349279,0.451252357,0.684929126,0.573852531,0.451252357,0.684929126,0.451252357,0.451252357,0.451252357,0.513409917
aadacl3,0.423037824,0.66018201,0.66018201,0.423037824,0.485142709,0.604915503,0.546207488,0.546207488,0.423037824,0.485142709,0.423037824,0.546207488,0.604915503,0.66018201,0.546207488,0.485142709,0.485142709,0.66018201,0.604915503,0.423037824
aadacl4,0.719117444,0.667816681,0.611716022,0.719117444,0.719117444,0.667816681,0.719117444,0.611716022,0.551578949,0.611716022,0.611716022,0.611716022,0.611716022,0.667816681,0.667816681,0.667816681,0.611716022,0.551578949,0.551578949,0.667816681
aadat,0.852999507,0.852999507,0.660731891,0.852999507,0.852999507,0.24786862,0.574503066,0.337528643,0.660731891,0.481046473,0.24786862,0.24786862,0.770263485,0.481046473,0.574503066,0.432976213,0.432976213,0.736676309,0.574503066,0.770263485
aagab,0.025137454,0.530997489,0.903272349,0.079534825,0.494037943,0.346744662,0.096454797,0.903272349,0.346744662,0.759812068,0.832568476,0.052170894,0.670375345,0.903272349,0.731759716,0.277936298,0.759812068,0.245786064,0.567381102,0.903272349
