,17-002,17-006,17-019,17-023,17-026,17-027,17-030,17-034,17-040,17-041,17-042,17-043,17-045,17-047,17-054,17-055,17-057,17-058,17-060,17-061
Adherens junction,0.4500153362751007,0.3969079256057739,0.4887005388736725,0.40654635429382324,0.4026080071926117,0.40192583203315735,0.41947251558303833,0.5230739712715149,0.4752677381038666,0.4598422348499298,0.5110287070274353,0.51392662525177,0.48431268334388733,0.41388848423957825,0.4737020432949066,0.5365926027297974,0.444428026676178,0.3581734597682953,0.40156805515289307,0.5359660983085632
African trypanosomiasis,0.5616635084152222,0.42371031641960144,0.2875746488571167,0.3594513237476349,0.3992154002189636,0.3189004063606262,0.4642335772514343,0.35780149698257446,0.6207771301269531,0.5710556507110596,0.6180864572525024,0.4360899329185486,0.4874822795391083,0.5015937685966492,0.48765861988067627,0.4703872799873352,0.3424746096134186,0.2522863745689392,0.27559229731559753,0.5637198090553284
AGE-RAGE signaling pathway in diabetic complications,0.39921054244041443,0.3772563338279724,0.3622738718986511,0.4392227530479431,0.4109470546245575,0.32976239919662476,0.3857254385948181,0.43437644839286804,0.49641481041908264,0.3495778441429138,0.41032594442367554,0.3187597393989563,0.4425295889377594,0.41134336590766907,0.4463657736778259,0.3929941654205322,0.46657794713974,0.24032381176948547,0.2972736060619354,0.5065516233444214
Alcoholic liver disease,0.45822790265083313,0.5124954581260681,0.46833059191703796,0.4637686014175415,0.40279343724250793,0.42409124970436096,0.4002925157546997,0.542337954044342,0.5579938292503357,0.4500395357608795,0.47059643268585205,0.46089187264442444,0.4291217029094696,0.4516150653362274,0.5420176982879639,0.57497638463974,0.5401341319084167,0.3853607475757599,0.4790445864200592,0.5655515789985657
Alcoholism,0.42014583945274353,0.4564116895198822,0.46025609970092773,0.36970001459121704,0.37482765316963196,0.3727967441082001,0.43746164441108704,0.3903155028820038,0.46037524938583374,0.40822091698646545,0.4322231411933899,0.39300498366355896,0.4133748412132263,0.4119979739189148,0.4571704566478729,0.43688514828681946,0.4914354979991913,0.4272959530353546,0.39590513706207275,0.43960267305374146
Aldosterone-regulated sodium reabsorption,0.5299075841903687,0.524859607219696,0.5199394822120667,0.7097391486167908,0.5866745710372925,0.7156497836112976,0.5754734873771667,0.5575796365737915,0.5590811371803284,0.7423383593559265,0.49154171347618103,0.6932886242866516,0.7250775694847107,0.6015958189964294,0.7293288111686707,0.6778280138969421,0.6312444806098938,0.6063228845596313,0.4581226408481598,0.5908386707305908
Allograft rejection,0.41802552342414856,0.3958229422569275,0.568393886089325,0.4291488528251648,0.4877508580684662,0.429349422454834,0.531289279460907,0.4735534191131592,0.5984007716178894,0.5414975881576538,0.5680128335952759,0.5390497446060181,0.5168700814247131,0.41526585817337036,0.6219948530197144,0.5951762199401855,0.4860247075557709,0.3916449248790741,0.4401549994945526,0.49215131998062134
Aminoacyl-tRNA biosynthesis,0.5781015753746033,0.6061449646949768,0.7411198019981384,0.6250954866409302,0.605503499507904,0.6615417003631592,0.6845767498016357,0.6908153891563416,0.6692991256713867,0.70546555519104,0.6054185032844543,0.7450464963912964,0.7382726073265076,0.6951329112052917,0.6624419689178467,0.6896721124649048,0.6708226799964905,0.6757354736328125,0.5956367254257202,0.6858419179916382
Amoebiasis,0.389537513256073,0.3650723695755005,0.2808804512023926,0.3491431772708893,0.3005788028240204,0.3520389795303345,0.3789428174495697,0.3976561427116394,0.3465226888656616,0.2935269773006439,0.42805787920951843,0.2629775404930115,0.2943100333213806,0.2368312031030655,0.3355899155139923,0.46020084619522095,0.3787708580493927,0.2525174617767334,0.3087517023086548,0.3531756103038788
Amphetamine addiction,0.5116559267044067,0.4804038107395172,0.5362560153007507,0.4743857681751251,0.5369778275489807,0.5150299668312073,0.5087035298347473,0.5629581212997437,0.567306399345398,0.5467508435249329,0.5400033593177795,0.5741152167320251,0.5556238293647766,0.5518448948860168,0.5677399635314941,0.5409379601478577,0.5847724676132202,0.5422804355621338,0.4893203377723694,0.5511524081230164
AMPK signaling pathway,0.3662383258342743,0.3999060392379761,0.3887377977371216,0.31783735752105713,0.3388757109642029,0.3677046000957489,0.3630910813808441,0.37638622522354126,0.4342844784259796,0.3594629168510437,0.4012003540992737,0.3577244281768799,0.3784705698490143,0.3819773197174072,0.41251814365386963,0.4241487681865692,0.4299229085445404,0.41025954484939575,0.3406091034412384,0.38082802295684814
Antifolate resistance,0.6020039319992065,0.7417561411857605,0.5731269717216492,0.5540449619293213,0.543880820274353,0.5125112533569336,0.5130922794342041,0.660705029964447,0.695773720741272,0.5694476962089539,0.5551367998123169,0.5524759292602539,0.5390810966491699,0.5448376536369324,0.8011806011199951,0.809028685092926,0.8154479265213013,0.5287256240844727,0.6747024655342102,0.8169057369232178
Apelin signaling pathway,0.309293657541275,0.3260236978530884,0.35151174664497375,0.35578036308288574,0.32277870178222656,0.31991302967071533,0.3423742651939392,0.3246181607246399,0.3545006811618805,0.35742130875587463,0.3775327205657959,0.35748302936553955,0.3341565430164337,0.3249668478965759,0.3493051826953888,0.3658072352409363,0.3524933457374573,0.30594053864479065,0.3256513178348541,0.3686774671077728
