pathway,17-002,17-006,17-019,17-023,17-026,17-027,17-030,17-034,17-040,17-041,17-042,17-043,17-045,17-047,17-054,17-055,17-057,17-058,17-060,17-061
AGE-RAGE signaling pathway in diabetic complications,0.3519396445593567,0.33045825560293557,0.3115019828911933,0.38491979633137596,0.3649308435280732,0.28304894928211066,0.3299037099469902,0.38637612355011663,0.44628624659299027,0.30148652603272497,0.36246230097147225,0.27264178732486144,0.3922559840997528,0.3632391258263439,0.39982377043035056,0.34499394361305646,0.41681204733183025,0.1904691879590799,0.24779164453052785,0.45872902373756785
AMPK signaling pathway,0.4779385752854311,0.5530536276435504,0.5026823440316345,0.4673278413442244,0.4970578137414653,0.5182594405871039,0.48900755128676177,0.5402918477823906,0.558627166260264,0.4809121918691869,0.5124061816366231,0.4898690847368602,0.5064278745751888,0.49955507301549523,0.5105907453531192,0.5263575469550181,0.5291359555112425,0.5203018170233843,0.4562772421857743,0.5006434023085522
Adherens junction,0.3785879335585267,0.36882168542224697,0.41076947543362274,0.39865064273644,0.3867614643828283,0.3788075664195171,0.3792092339124444,0.49824487454733335,0.4333609975774102,0.41478172765580384,0.4311158689001114,0.44694315983750443,0.46969491580500405,0.4270538398462266,0.4191337202786725,0.4685215513339211,0.39858320941352454,0.3295478853424759,0.3987784988464408,0.45569363118359074
African trypanosomiasis,0.5704747132826404,0.40961321971555215,0.24786231357318306,0.3604465688881767,0.4310770346220869,0.29772665570199386,0.41935530904910495,0.3511244924824467,0.5929428929924794,0.5498819356694032,0.603989322401432,0.3912116140853014,0.48847753634156554,0.5182426873847585,0.44278029988142104,0.45629009071420956,0.297596322404729,0.23111265045447318,0.26149518627856183,0.5425460982986199
Alcoholic liver disease,0.3992144800895374,0.4629003661236326,0.4365632765660676,0.4074392409878744,0.393518971594566,0.3793727580039136,0.37962813043885807,0.4633406758287759,0.48989213006776516,0.3923019175664772,0.4281690261038409,0.3996669726698819,0.3865602376240495,0.3858579076613924,0.4657294395388954,0.48414549706823257,0.43213755366617895,0.3417052922762555,0.4073876643934455,0.4685691671185193
Alcoholism,0.30298544116476883,0.31381871042909887,0.32799980354309394,0.26996348641120876,0.26661688108910214,0.2693820200846631,0.3298001871817286,0.2923310858184267,0.34859295162222215,0.2754225390933378,0.333063007619813,0.2582400627038642,0.2775658422004805,0.3050245884678328,0.32544127850246113,0.31588166054704264,0.35846142529151,0.2746637628085538,0.2888051684803204,0.3321714586224473
Aldosterone-regulated sodium reabsorption,0.28642897505,0.2981392687500001,0.38433431440000004,0.45669750035000006,0.34273670115,0.48358603460000005,0.3753901963,0.3370678649,0.33632892405000003,0.54344702135,0.260943673,0.45679168665000003,0.5234112398,0.43892622450000013,0.5413345836,0.439413199,0.477599924,0.44374926925,0.30043306454999996,0.40635565205000007
Allograft rejection,0.27516833683044334,0.25296575798747156,0.42553673333706704,0.2862917130192598,0.34489370126759394,0.28649227316630205,0.38843217971743016,0.33069626389066825,0.4555436921362839,0.39864042527615673,0.4251556189258113,0.39619258666903007,0.37401297771863556,0.2724087200036221,0.4791376847178194,0.4523190747829542,0.3431675928003876,0.24878777641261177,0.2972978661050973,0.34929416539267816
Aminoacyl-tRNA biosynthesis,0.32202576664965715,0.3307433652064862,0.33181566816070496,0.3265828319419938,0.32843847512948154,0.328598934026115,0.3282622360221008,0.32973072552185917,0.3260572218191849,0.3334564665429107,0.32964538067239396,0.338230028300588,0.33531878443140184,0.3327171133572496,0.3273641971584865,0.3320261354996521,0.33954437068028304,0.3246576784473148,0.3251883284265778,0.3307161595438225
Amoebiasis,0.38132371645759877,0.2373499802598743,0.3620580918075444,0.3585919156976916,0.38670603734482,0.3578616010340523,0.405015286045955,0.3557251218905958,0.33712757565555,0.32374586615642537,0.47782653202732966,0.31350589729896394,0.20764277373935647,0.2499149329363527,0.27939471250010517,0.39703515607561624,0.2665191325458838,0.2555458375376963,0.2682603236790875,0.3891323542629558
Amphetamine addiction,0.2625477212266045,0.24002305543815955,0.2747553384242095,0.24392973457078196,0.2717288957648704,0.28887619701106937,0.2725343309685717,0.2843547079296096,0.2904318331088854,0.25094287769261164,0.28541758245998744,0.2782506510632743,0.259980509864227,0.2832573880579408,0.292406498949837,0.2637487001637677,0.32809601823991735,0.24642453696878466,0.26598437078570486,0.2768273928672686
Antifolate resistance,0.6020038824131915,0.74175619003308,0.5731270157516024,0.5540449454486202,0.5438808861401694,0.5125112031476396,0.5130922999823164,0.6607050009525146,0.6957737405643298,0.5694477014039416,0.5551368779077921,0.5524759918683799,0.5390810860837859,0.5448376782106916,0.8011805861111052,0.8090287024574471,0.8154479544409717,0.5287256519052793,0.6747024964055917,0.8169057359224701
Apelin signaling pathway,0.26125767867776045,0.2406083039436265,0.31972057776294377,0.3244109870437053,0.27811200235509165,0.2756367197213861,0.3027219005281437,0.28093360087344055,0.29577452488539296,0.27440841515936687,0.32783071628662364,0.282497626868416,0.26692856090063033,0.26247683322401505,0.2681135269347004,0.3041497983191192,0.28050652870500936,0.2336446229818543,0.2661098918504797,0.33046588497296725
Apoptosis - multiple species,0.5411904261051008,0.6545893359310474,0.6428622049531323,0.6814516443539731,0.6586575648816655,0.6441839059346747,0.47532401887364184,0.7375130691079448,0.6597429748023248,0.6884432571320084,0.6559038848123335,0.5469015792005104,0.5327672212371869,0.6220372756626047,0.6746400783789908,0.7058735575215216,0.6477475473513189,0.5165382459587673,0.5522945673645023,0.6102347304768646
Arachidonic acid metabolism,0.44188677204224797,0.4329278340065225,0.3900042123310234,0.4074105850511251,0.4288393969247574,0.41253586921262597,0.39723400929833375,0.40358748847192494,0.42731067945575557,0.3943617018781897,0.44025430598027765,0.38531804446812185,0.3843853765853966,0.38628707464927053,0.38307338997115636,0.4706505873469745,0.3897838448224134,0.3576622339131319,0.4217476841141097,0.43541620728445857
Arrhythmogenic right ventricular cardiomyopathy,0.4306333942661672,0.46802103895894875,0.5535976300299582,0.46315984854138553,0.4293985609437042,0.45406756469731185,0.42475760894337966,0.49316393620994803,0.4912303108020017,0.39398147530676714,0.4617970343904363,0.3737155332571221,0.43488210660001486,0.5211188345451996,0.5155248606424291,0.5449787306915916,0.4891429871311502,0.41224133649571837,0.47108603743048444,0.529005305803585
Asthma,0.09304178733333333,0.12750592766666666,0.277074377,0.10994698666666668,0.09304178733333333,0.2288061876666667,0.2668757646666667,0.16323017233333334,0.16323017233333334,0.277074377,0.09304178733333333,0.18075035333333334,0.277074377,0.18075035333333334,0.25542866533333336,0.14537835933333335,0.277074377,0.18075035333333334,0.14537835933333335,0.277074377
Autoimmune thyroid disease,0.4184997172768145,0.4076565212815381,0.5520602680647366,0.4406420436730865,0.4744160765653884,0.4275061327697197,0.5316809517629529,0.5213440337254609,0.5689286279978089,0.5607290301872904,0.5245204788324134,0.5111925730325338,0.5090022538585928,0.410749300572636,0.5992089576202255,0.5516839346895562,0.4843388538858434,0.38937930542325155,0.42496990217788955,0.4943800741785117
Autophagy - other,0.3893464200071851,0.33377901957575473,0.4746356192474504,0.45921723710696855,0.41326506493771215,0.5243153870633178,0.4576792667026622,0.44768530119103206,0.3769930538667875,0.4833082686800892,0.5037592877775093,0.4334565328455783,0.44366770148241197,0.4764173431436949,0.3879802907768696,0.46519846246604035,0.39475284642218683,0.5204413714330753,0.47465499120111987,0.4199985500867167
Axon guidance,0.4831377548995531,0.39671889290119544,0.4291086027225372,0.37021293904157127,0.3533515756263679,0.4033651512937616,0.4157767253197763,0.39660559380175975,0.47498798349103083,0.4530933941923931,0.4142750017837188,0.44936970418477384,0.4345917266970531,0.39242754440384203,0.4322772890401662,0.4846131066911961,0.4086663281226626,0.3525189511895582,0.3741506217907115,0.4271053450852955
Bacterial invasion of epithelial cells,0.523155838770664,0.3914669683158804,0.414165977510329,0.38914054136982923,0.34057501128423784,0.3996796389482963,0.39016491497044553,0.4012591596847625,0.45808162822115056,0.4283673832435934,0.5440062105271677,0.47048871721602614,0.39276822981342435,0.36690489813255034,0.42802485470193463,0.5129283885110748,0.37481304815051564,0.3325873480602016,0.39440296868448016,0.455866231990032
Bile secretion,0.42829957320930334,0.37894273562835223,0.44030047245657133,0.413986976536572,0.37923794480798834,0.39600180279691877,0.407482861667323,0.3981138240103552,0.4532381052872316,0.41885241870067214,0.45106512486148564,0.4075382494273907,0.39327303623351545,0.39997551005450427,0.4028713502916175,0.4196951504972651,0.4212710696397474,0.38360214686443134,0.38526336347226275,0.414865480297742
C-type lectin receptor signaling pathway,0.3848019088204599,0.3833561993054557,0.3548924374868717,0.3992032755638493,0.4078512612206819,0.3714925387019493,0.36317351607493054,0.44565746325937894,0.42324227527917896,0.31097746736371096,0.39545235181709376,0.3018113857201243,0.2642154032338416,0.21540996426392411,0.44917429522376395,0.5581929988107631,0.3889947013836337,0.22241354855924994,0.3138164570699124,0.43236665885014264
Carbohydrate digestion and absorption,0.2049562168757376,0.1194119836191095,0.21835688696108033,0.1821297631795262,0.19861745022161292,0.2269641732846326,0.1918123825827793,0.2771644561481849,0.1327211133500982,0.1430608086709424,0.14706904841303434,0.23531858215279794,0.21416272262301472,0.13574693243006009,0.13395871384176553,0.17650070545615812,0.1836615435440853,0.15907095342335795,0.14504253753877408,0.20751961110367695
Cardiac muscle contraction,0.4956386770940959,0.5127677170187667,0.48589415404785674,0.5127520363660976,0.463814052988606,0.46542402479288714,0.5418311895847865,0.4947709401572285,0.5123396263472708,0.503142523482227,0.4292415794067466,0.45505287371518505,0.499261711172265,0.46610658710756586,0.46074813913314255,0.49897372419265457,0.4987635975272753,0.49045311115426055,0.47386114503135635,0.5054570818565376
Cell adhesion molecules,0.48765790249222984,0.37670958221120643,0.40471585801254156,0.4259089137378464,0.43355031329068877,0.4323084451005182,0.4744398263325219,0.44267893575179185,0.4403987221395872,0.41959030806224046,0.41809968152582017,0.42634937120102084,0.4508246570025416,0.35988576790921456,0.4372785845392245,0.5138948603412035,0.3886768832846548,0.39942687210260275,0.43802258308693065,0.44005249919925404
Cellular senescence,0.40561217405293304,0.4279388993754574,0.45584064674899993,0.3865503694737874,0.40975402084312035,0.4389352764053057,0.45708628393168665,0.413224746205442,0.43058319280046115,0.40205297525571265,0.41601917534869315,0.40806927619069056,0.4452438241218135,0.3995802207123185,0.43853529788164103,0.4415641464118291,0.41453326307858734,0.4039249888160841,0.3676538786002535,0.45900317351389874
Central carbon metabolism in cancer,0.5603157764041931,0.548497994549475,0.24528019749344693,0.45861995652830767,0.41406738592922226,0.2682378863641328,0.31084872321536605,0.3243719518516111,0.42212293433230547,0.5158176713330261,0.44868210114532453,0.3243981088815907,0.29495462445161347,0.5219872613779932,0.3674045293892199,0.3316448657582889,0.4932994757075399,0.5199344360406765,0.3775274671353838,0.450339377429604
Chagas disease,0.4713351364305201,0.4257850575539254,0.39610025102367635,0.42727749797728826,0.4462851135910365,0.38709606433441845,0.4186762826317251,0.46347079905899813,0.5400104207725792,0.4065097353560185,0.4455337301064626,0.38619681100978903,0.43997110980451537,0.44836629774648135,0.44049357873904504,0.4793084014776646,0.3922684581766606,0.21950317436154707,0.388046569466835,0.4912979301753565
Choline metabolism in cancer,0.3922580930161992,0.32322711629147166,0.37311874853658855,0.30227358982494584,0.3070476781860328,0.2556393869887402,0.22638952842322368,0.30542451066982285,0.4195489522339468,0.3258706200288179,0.3354559248113602,0.2918772409533041,0.25174869958669355,0.3119979103887458,0.36190116143285106,0.42762187044691086,0.3717444188371703,0.22592066908736902,0.17935506680628366,0.34513930627845607
Cholinergic synapse,0.21601915672790675,0.20372564968940274,0.23814018640563006,0.22654316799428492,0.21422991309786982,0.21412716092939824,0.23407358255125005,0.211917011570966,0.19838033731062832,0.19381913778887597,0.2139144279006124,0.2076438889485497,0.2050887051649958,0.17269575933901177,0.23947619093448694,0.24776192455322596,0.21604879425522225,0.18702311612834513,0.19722125145308786,0.2378770068690531
Circadian entrainment,0.3125334178442779,0.34331292313971973,0.33759561543271177,0.32700957471641634,0.38420755433606346,0.3363137461618134,0.32790939233571226,0.2877217053100376,0.26801557766280687,0.2856094959161566,0.2716631166511747,0.29631935248151564,0.2895794018253524,0.292901643975491,0.3222702444541605,0.2873971585737284,0.2742996710126111,0.339708581617045,0.28753697779521736,0.3068277669267523
Cocaine addiction,0.3343415310704411,0.3838802468685187,0.38471446091783873,0.3420369162516322,0.3996843785540788,0.387656664339097,0.3770762425184655,0.34498278552584655,0.44074851367924034,0.39511315249623014,0.38230895373097057,0.3572616584180631,0.37487763770537647,0.39146683233608603,0.3798508431747736,0.30957983875169,0.41467009562389473,0.3635965130885943,0.3217904632067677,0.34202067394348323
Collecting duct acid secretion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytokine-cytokine receptor interaction,0.5516862696457148,0.5393293305601469,0.4492205445859297,0.5277709018429095,0.5286723991223854,0.5284119199649076,0.5019036287334859,0.4702835151335509,0.48892189630146904,0.46425287921715314,0.5270892946367888,0.4718498566108047,0.44052298408059953,0.4597266309481633,0.48276852473041115,0.502114803056094,0.4737573847899347,0.4822888083632752,0.4730972283899098,0.5179841883080804
Diabetic cardiomyopathy,0.3474952723020135,0.4281516620679579,0.36446642748806385,0.3762663751558958,0.35093553502178365,0.35679269981866857,0.34756927891476386,0.40407214433129673,0.4097101338782244,0.38744341966439344,0.3316219516495768,0.3764734328608922,0.3936464691653125,0.336404059759576,0.38734328719790706,0.40358700401266134,0.42130828148432575,0.32952393385093187,0.38117990615512226,0.4430983950931231
Dilated cardiomyopathy,0.414984118007525,0.42575011226241244,0.5108755839866604,0.43719118522738726,0.4285511734329227,0.4161522916063248,0.4197385057097805,0.43080954598461163,0.4475681129940713,0.4360946384269364,0.38723242244923217,0.4058887268957048,0.4190547853454626,0.443207356078776,0.4619454857239555,0.45790139079926423,0.47358332196126984,0.4459443145992151,0.41874700752260363,0.4336558734799048
Drug metabolism - cytochrome P450,0.37091885627114984,0.41410652057805275,0.38915537232869635,0.4287380939121563,0.40392985830838174,0.41308995856366004,0.39611707433847404,0.40960410241185297,0.39031603463376086,0.398641332495117,0.4135406403694697,0.4090111444845111,0.3892979547290191,0.4410531089708372,0.3797833669330715,0.3994134755803441,0.38095500443319336,0.42858288179208015,0.40497597868612883,0.40864772897420976
