PATHWAY_URI	DISPLAY_NAME	DIRECT_SUB_PATHWAY_URIS	ALL_SUB_PATHWAY_URIS
http://pathwaycommons.org/pc12/Pathway_254dba72e2e743e5ace2acf7bfaf6ff3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)		
http://pathwaycommons.org/pc12/Pathway_0440b3bac8e77fec2b8e8a6e42df192b	4-hydroxyproline degradation I		
http://pathwaycommons.org/pc12/Pathway_30755498f4ade989cebe27ee67e3e0e4	L-cysteine degradation III		
http://pathwaycommons.org/pc12/Pathway_451f7d77975ea5c2d225cc53a1d54e5a	fatty acid beta-oxidation I		
http://pathwaycommons.org/pc12/Pathway_911cfa86fd84f6cafa3f012bebc32b82	histidine degradation III		
http://pathwaycommons.org/pc12/Pathway_dc80bf39bae6ebce45bbe2b85eea7e58	serotonin degradation		
http://pathwaycommons.org/pc12/Pathway_46c0b4f277b0fc3cb82d8fccd913c96b	sulfite oxidation IV		
http://pathwaycommons.org/pc12/Pathway_9043dd8b1fb1d3b1b7ac08cfa06a7f54	fatty acid activation		
http://pathwaycommons.org/pc12/Pathway_b6d3b695a67091fb3ac0e5e9d8fda0d4	inositol pyrophosphates biosynthesis		
http://pathwaycommons.org/pc12/Pathway_6654f82a2f2910836fa8a67acd9731cb	alanine biosynthesis III		
http://pathwaycommons.org/pc12/Pathway_646e3740aa0f25a905ba52fa7ad7baec	lysine degradation II		
http://pathwaycommons.org/pc12/Pathway_a771843aa1c68d1cdc774deca3063876	L-cysteine degradation II		
http://pathwaycommons.org/pc12/Pathway_814d570b1ab7027d6a7cd238bc3e80d3	superoxide radicals degradation		
http://pathwaycommons.org/pc12/Pathway_9a2051d94ac424f68e68678df0a37abc	methylglyoxal degradation VI		
http://pathwaycommons.org/pc12/Pathway_53d1ecdabdb538fcfb8517c842bdcef8	methylglyoxal degradation I		
http://pathwaycommons.org/pc12/Pathway_ef8d9837a7de4bb7a08b819c3139829e	UDP-N-acetyl-D-galactosamine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_e1b06906a34221aab8cc5f74d8ab2b77	lactose degradation III		
http://pathwaycommons.org/pc12/Pathway_cc3e9f0206e9d16618ce7b8253fa914d	beta-alanine degradation I		
http://pathwaycommons.org/pc12/Pathway_7828a0cde358f529ddc040f5c7eb6361	chondroitin sulfate degradation (metazoa)		
http://pathwaycommons.org/pc12/Pathway_ef00f9d53d486c4856552f019c061d83	alanine biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_57b0d9ec1912972dc9836dc2dd8ae6ed	phenylethylamine degradation I		
http://pathwaycommons.org/pc12/Pathway_ea3d908b92bea211e5ef1f207faaf615	acetate conversion to acetyl-CoA		
http://pathwaycommons.org/pc12/Pathway_6e7a329bcb6ab4d51994629dbb71340b	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA		
http://pathwaycommons.org/pc12/Pathway_0b0eb5d075fd16d7fb20d3fbfb8801d3	L-glutamine biosynthesis II (tRNA-dependent)		
http://pathwaycommons.org/pc12/Pathway_55320b8426f0b0f9108eb5fd36baf6fc	4-hydroxy-2-nonenal detoxification		
http://pathwaycommons.org/pc12/Pathway_92f678a722efe4a00110078bbe298809	UDP-N-acetyl-D-glucosamine biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_e4d7723e19ec8fb1120669b61a1d4279	adenine and adenosine salvage III		
http://pathwaycommons.org/pc12/Pathway_80b775e37815fb34423ae5900a041723	inosine-5'-phosphate biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_9a04c3bfa01b4ca5f33327a09a59270d	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde		
http://pathwaycommons.org/pc12/Pathway_bb7af08c4f0fb73756777391f1c9b6ea	NAD biosynthesis II (from tryptophan)		
http://pathwaycommons.org/pc12/Pathway_c261732c4bed65576f44931807320e5f	serine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_e2214ad32360e8522036a640c0107500	anandamide degradation		
http://pathwaycommons.org/pc12/Pathway_184c9c34618597ba866f060e30bdb6d8	phosphatidylethanolamine biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_d32a6f866670fa4f682e1d7b9f35648d	sucrose degradation V (mammalian)		
http://pathwaycommons.org/pc12/Pathway_e0ad91bdab0541b3cc5785db67604363	gluconeogenesis I		
http://pathwaycommons.org/pc12/Pathway_181385d748ce9ecf906824b6acb87757	spermine and spermidine degradation I		
http://pathwaycommons.org/pc12/Pathway_b1a2d04e7635bad8d582ed1eab55e2d7	alanine degradation III		
http://pathwaycommons.org/pc12/Pathway_88e37e81265df3829ecd8b95076b1050	D-myo-inositol (1,4,5)-trisphosphate degradation		
http://pathwaycommons.org/pc12/Pathway_43894c5981463d15122494ba1fb80e90	glutathione biosynthesis		
